track,artist,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
"Swan Lake - Ballet in four acts Op. 20, ACT 1: No. 7 - Sujet",Pyotr Ilyich Tchaikovsky,0.414,0.00667,E,-36.126,0.0356,0.974,0.203,0.267,61.024,33000.0,2010.0,0,False
"Die eisblaue Spur - Island-Krimi, Kapitel 8",Yrsa Sigurðardóttir,0.625,0.155,D#/Eb,-19.79,0.965,0.544,0.154,0.257,79.638,182646.0,2010.0,0,False
Spaceship - UK Edit,Benny Benassi,0.6759999999999999,0.911,A,-2.205,0.0877,0.0981,0.0891,0.672,129.95,184154.0,2010.0,0,False
The Virus Invasion,DJ 3rr0rn0153,0.662,0.95,D,-12.803,0.037,0.0015,0.106,0.5479999999999999,140.01,237004.0,2010.0,0,False
"Die eisblaue Spur - Island-Krimi, Kapitel 101",Yrsa Sigurðardóttir,0.643,0.159,F,-20.473,0.931,0.636,0.114,0.285,159.857,166065.0,2010.0,0,False
Xzit the Entrance,X'Sylum,0.607,0.802,B,-4.584,0.101,0.0442,0.304,0.642,95.004,191789.0,2010.0,0,False
Yn Yr Ardd,Bryn Fôn,0.644,0.8,A,-6.029,0.0301,0.507,0.227,0.823,129.886,251093.0,2010.0,0,False
Izmir (Outro),Ismail Ali Turut,0.672,0.86,C#/Db,-7.664,0.0594,0.522,0.131,0.79,117.848,39912.0,2010.0,0,False
Ya Soshla S Uma,Brockmaster B.,0.484,0.479,C#/Db,-19.821,0.364,0.105,0.228,0.7440000000000001,179.97400000000005,246204.0,2010.0,0,False
Spinnstub'nweisen,Wetterstoa Musikanten,0.642,0.0711,C,-19.596,0.0823,0.976,0.114,0.207,121.105,161000.0,2010.0,0,False
T.G.I.F.,Skafield,0.595,0.984,A,-3.978,0.077,0.00121,0.605,0.657,128.049,166747.0,2010.0,0,False
"Würg, Rico, würg! - Teil 1",Die Pinguine aus Madagascar,0.6890000000000001,0.631,C#/Db,-8.978,0.913,0.41,0.636,0.634,63.785,210200.0,2010.0,0,False
"Der große Entwurf - Eine neue Erklärung des Universums, Kapitel 23",Stephen Hawking,0.7170000000000001,0.396,F#/Gb,-14.675999999999998,0.687,0.118,0.326,0.8059999999999999,83.258,118715.0,2010.0,0,False
Higher Power - Hardcore Pck Mix,WK7,0.779,0.932,G,-8.232000000000001,0.129,0.000266,0.24,0.203,127.037,348418.0,2010.0,0,False
"Der Kuss des Kjer, Kapitel 177",Lynn Raven,0.604,0.254,F#/Gb,-18.021,0.964,0.194,0.196,0.352,67.347,214297.0,2010.0,0,False
Kapitel 1 - 30 Minuten NLP im Alltag,Egon R. Sawizki,0.71,0.363,G,-18.093,0.902,0.38,0.243,0.439,115.624,124400.0,2010.0,0,False
FPD,Circum Grand Orchestra,0.485,0.325,D,-16.694000000000006,0.0275,0.7070000000000001,0.113,0.362,146.886,265067.0,2010.0,0,False
Öp,Tarkan,0.7829999999999999,0.7490000000000001,C#/Db,-4.348,0.114,0.0393,0.0523,0.8009999999999999,129.98,227187.0,2010.0,0,False
Xin Lỗi Anh,Minh Tuyết,0.377,0.289,B,-9.622,0.0499,0.912,0.1639999999999999,0.149,182.104,329189.0,2010.0,0,False
"Der Kuss des Kjer, Kapitel 157",Lynn Raven,0.7,0.269,F#/Gb,-19.308,0.951,0.0679,0.0914,0.285,132.032,214127.0,2010.0,0,False
Odo nwom,Kofi Nti,0.88,0.524,C,-6.007999999999999,0.0627,0.156,0.037,0.86,99.988,357347.0,2010.0,0,False
"Der Kuss des Kjer, Kapitel 261",Lynn Raven,0.623,0.276,F#/Gb,-17.504,0.916,0.0898,0.242,0.425,172.627,212828.0,2010.0,0,False
"Die eisblaue Spur - Island-Krimi, Kapitel 146",Yrsa Sigurðardóttir,0.706,0.161,F,-21.167,0.954,0.733,0.364,0.407,130.9,220998.0,2010.0,0,False
Go Go Go Go! - Ti-Mo Remix Edit,89ers,0.653,0.963,E,-4.718,0.0572,0.0185,0.359,0.474,140.019,215300.0,2010.0,0,False
Se Beber Empolga,Pedro Paulo & Alex,0.8270000000000001,0.815,F,-7.416,0.155,0.0437,0.234,0.94,145.812,144933.0,2010.0,0,False
Bilsaha Tlaqayna,Wadih El Safi,0.767,0.345,G,-12.308,0.0565,0.908,0.113,0.863,112.979,271517.0,2010.0,0,False
JME,Jme,0.836,0.643,C,-7.2429999999999986,0.212,0.087,0.277,0.486,140.03,204427.0,2010.0,0,False
C'mon Now,John Butler Trio,0.557,0.983,G,-3.913,0.0514,0.1639999999999999,0.315,0.7759999999999999,113.554,162240.0,2010.0,0,False
Fading Halo,The Qemists,0.51,0.728,F#/Gb,-4.371,0.0277,0.0013,0.0993,0.0806,87.00200000000002,293721.0,2010.0,0,False
"Waltz, NO. 2 (XO)",Elliott Smith,0.635,0.484,A#/Bb,-7.6389999999999985,0.0254,0.37,0.0927,0.66,132.167,278773.0,2010.0,0,False
Lovac I Košuta,Plavi Orkestar,0.882,0.835,E,-5.516,0.0393,0.289,0.322,0.971,122.783,192080.0,2010.0,0,False
Ylijäämä Alku,Are,0.833,0.919,E,-4.599,0.1369999999999999,0.281,0.121,0.8440000000000001,95.812,133832.0,2010.0,0,False
"Tschick, Kapitel 64",Wolfgang Herrndorf,0.736,0.229,F#/Gb,-21.84800000000001,0.962,0.36,0.105,0.461,63.341,206118.0,2010.0,0,False
One Simple Idea,Hans Zimmer,0.405,0.268,F,-18.053,0.0359,0.444,0.158,0.0528,83.98299999999998,148360.0,2010.0,0,False
Hello Again - Remastered,Howard Carpendale,0.534,0.58,C#/Db,-9.811,0.0292,0.64,0.106,0.542,109.99,221667.0,2010.0,0,False
Yf,Superimpose,0.615,0.43,C#/Db,-20.94400000000001,0.0896,0.547,0.0765,0.371,81.543,214853.0,2010.0,0,False
Symphony No. 2: III. Adagio,Sergei Rachmaninoff,0.0621,0.0217,A,-26.478,0.046,0.957,0.0884,0.0342,70.36399999999999,861467.0,2010.0,0,False
Gdzie Jestes Dzis,Kombii,0.61,0.894,D,-5.157,0.039,0.00384,0.0398,0.648,119.941,241453.0,2010.0,0,False
CMYK,James Blake,0.374,0.8059999999999999,A,-8.214,0.158,0.179,0.0647,0.236,139.093,219276.0,2010.0,0,False
The World's My Qyster,Preen,0.652,0.687,F#/Gb,-7.947,0.0508,0.21,0.0763,0.5710000000000001,111.006,263627.0,2010.0,0,False
"Lost In The Crowd - Theme From The Movie ""Lost In The Crowd""",Joana Zimmer,0.319,0.486,C#/Db,-9.377,0.0641,0.6970000000000001,0.132,0.192,178.364,286859.0,2010.0,0,False
Take 5 - Kool Summer Mix,XXL,0.75,0.8059999999999999,C#/Db,-8.05,0.0471,0.00388,0.11,0.706,110.869,393573.0,2010.0,0,False
Goth Bb,Ritualz,0.162,0.528,G,-7.313,0.0396,8.070000000000001e-05,0.214,0.0374,129.356,241705.0,2010.0,0,False
Get Away,WJ,0.67,0.7,B,-6.942,0.0496,0.0034,0.288,0.83,140.0,207215.0,2010.0,0,False
Unter deiner Flagge - Piano Version (Live bei Radio NRW),Unheilig,0.511,0.381,C,-9.885,0.0339,0.8079999999999999,0.105,0.222,122.907,233640.0,2010.0,0,False
Nouvelle Chance - tango mix,Eule:Nhaupt,0.815,0.472,F,-11.303,0.108,0.0065099999999999,0.114,0.746,126.879,292373.0,2010.0,0,False
Nju ne zaboravljam,Amadeus Band,0.638,0.889,E,-3.3280000000000003,0.031,0.0352,0.61,0.926,136.05700000000002,211880.0,2010.0,0,False
"Se Esta Rua Fosse,(2º andamento em fuga)",Oquestrada,0.589,0.5589999999999999,A,-8.404,0.0725,0.0452,0.0563,0.8009999999999999,165.077,205867.0,2010.0,0,False
137 - Pfad der Angst - Teil 15,Die drei ???,0.546,0.584,G,-18.109,0.947,0.238,0.442,0.172,87.70299999999997,114227.0,2010.0,0,False
"Tschick, Kapitel 85",Wolfgang Herrndorf,0.713,0.217,C#/Db,-22.454,0.945,0.402,0.195,0.465,123.629,306732.0,2010.0,0,False
Yıkılırım Ellerimi Bırakma,İbrahim Tatlıses,0.804,0.858,E,-6.462999999999999,0.0647,0.606,0.337,0.782,127.991,213120.0,2010.0,0,False
Aaruyire,G. V. Prakash,0.537,0.393,F,-14.671,0.0406,0.619,0.0873,0.26,96.95,370613.0,2010.0,0,False
Te Compro - Live México D.F. / 2010,Duelo,0.4970000000000001,0.573,G,-7.615,0.0729,0.328,0.6920000000000001,0.583,79.77199999999998,172480.0,2010.0,0,False
Viel Feind viel Ehr,Varg,0.204,0.981,D,-1.375,0.149,3.83e-06,0.041,0.072,99.952,294280.0,2010.0,0,False
Instinto De Venado,Apostadores,0.851,0.8270000000000001,D,-3.083,0.0526,0.398,0.075,0.923,112.418,173920.0,2010.0,0,False
Ole España,Football Fans United Band,0.594,0.602,A#/Bb,-13.437,0.121,0.0441,0.0492,0.505,141.106,217587.0,2010.0,0,False
Aina jotain uutta,Pasi Vainionperä,0.624,0.448,G#/Ab,-7.89,0.0296,0.574,0.151,0.153,137.878,266400.0,2010.0,0,False
"Der Kuss des Kjer, Kapitel 196",Lynn Raven,0.6659999999999999,0.269,F#/Gb,-16.704,0.96,0.096,0.126,0.37,78.112,213780.0,2010.0,0,False
Achensee Marsch,DIE G'FIERIGEN,0.6509999999999999,0.275,C,-12.153,0.121,0.662,0.0997,0.935,129.83,173400.0,2010.0,0,False
"Der große Entwurf - Eine neue Erklärung des Universums, Kapitel 118",Stephen Hawking,0.7240000000000001,0.306,C#/Db,-15.047,0.8490000000000001,0.0557,0.278,0.696,117.049,120883.0,2010.0,0,False
Intro - Intro (Dj Wired 91.5 Wprk),DJ Wired,0.0,0.44,A,-10.686,0.0,0.976,0.534,0.0,0.0,9169.0,2010.0,0,False
Abandon V3,zYnthetic,0.449,0.98,E,-4.25,0.0935,0.0664,0.0984,0.0392,138.702,224328.0,2010.0,0,False
Sihamba Ne Qhawe,Deborah,0.341,0.733,C#/Db,-7.322,0.269,0.5820000000000001,0.131,0.657,66.847,272693.0,2010.0,0,False
Fhoume,Sebastian Albrecht,0.544,0.392,C#/Db,-13.745,0.217,0.00689,0.159,0.147,116.718,394839.0,2010.0,0,False
House of Night - Ungezähmt - Teil 54,P.C. Cast,0.72,0.306,F,-11.821,0.947,0.391,0.0836,0.293,122.303,344067.0,2010.0,0,False
Gje Meg Handa Di Venn,Kurt Nilsen,0.349,0.0977,D,-14.489,0.0389,0.8740000000000001,0.151,0.158,129.566,224947.0,2010.0,0,False
Nebghik Mani Mehani,Cheb Hasni,0.624,0.608,G,-13.782,0.0358,0.148,0.108,0.916,169.917,356187.0,2010.0,0,False
Yksinkertanen,Kriso,0.721,0.727,A,-5.437,0.102,0.779,0.0851,0.6709999999999999,91.206,216202.0,2010.0,0,False
House of Night - Ungezähmt - Teil 38,P.C. Cast,0.715,0.309,F#/Gb,-12.988,0.952,0.398,0.0734,0.321,127.383,346013.0,2010.0,0,False
Eisblumen,Udo Jürgens,0.586,0.478,G,-8.222000000000001,0.0348,0.725,0.305,0.335,114.959,205493.0,2010.0,0,False
Yyteri - Original Mix,Ceeryl Air,0.7929999999999999,0.615,A,-7.496,0.086,0.00112,0.0944,0.254,129.995,443077.0,2010.0,0,False
Nazischweine,Eight Balls,0.446,0.976,D,-4.28,0.0877,0.0764,0.371,0.615,131.925,176267.0,2010.0,0,False
Fools Cry - Re-RRecording,Fancy,0.542,0.8909999999999999,F,-6.9,0.0355,0.00445,0.163,0.531,128.162,336227.0,2010.0,0,False
I Caught Myself,Vitamin String Quartet,0.722,0.289,F,-12.73,0.0438,0.835,0.187,0.8,117.035,199320.0,2010.0,0,False
Yiyhu L'ratzon,Congregation Bet Haverim,0.154,0.187,G#/Ab,-21.906,0.0404,0.993,0.104,0.0651,73.20100000000002,85547.0,2010.0,0,False
Heber,F.S. Blumm,0.377,0.0634,G,-17.613,0.0461,0.976,0.0616,0.0396,78.937,277160.0,2010.0,0,False
