track,artist,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,year,weeks-on-board,charted
Still D.R.E.,Dr. Dre Featuring Snoop Dogg,0.816,0.775,B,-3.323,0.234,0.16,0.0543,0.527,93.431,270587,2000,5,True
Lucky Man,Montgomery Gentry,0.578,0.471,E,-7.27,0.0289,0.368,0.159,0.532,133.061,196707,2007,17,True
On The Hotline,Pretty Ricky,0.704,0.854,A#/Bb,-5.477,0.183,0.0185,0.148,0.688,92.988,242587,2007,19,True
I Got A Feelin',Billy Currington,0.63,0.764,D,-4.353,0.0275,0.363,0.125,0.631,112.098,193760,2004,16,True
Where I Come From,Alan Jackson,0.726,0.631,B,-8.136,0.0334,0.22,0.193,0.746,124.711,239240,2002,20,True
Nothin' To Die For,Tim McGraw,0.481,0.786,A#/Bb,-5.654,0.0288,0.0538,0.0759,0.389,153.105,253640,2009,11,True
F.U.R.B. (F U Right Back),Frankee,0.787,0.632,G#/Ab,-3.487,0.137,0.103,0.388,0.612,141.026,198173,2004,7,True
Amarillo Sky,Jason Aldean,0.491,0.776,D,-3.887,0.0393,0.314,0.146,0.428,154.988,202547,2007,20,True
Six-Pack Summer,Phil Vassar,0.725,0.733,C,-6.66,0.0242,0.508,0.173,0.843,100.311,219827,2001,10,True
Daddy Won't Sell The Farm,Montgomery Gentry,0.708,0.728,G,-7.039,0.0298,0.011,0.0556,0.704,119.881,258640,2000,6,True
Move Along,The All-American Rejects,0.518,0.916,D#/Eb,-3.858,0.0454,0.000148,0.291,0.646,109.864,238880,2006,39,True
It's So Hard,Big Punisher Featuring Donell Jones,0.9,0.593,A#/Bb,-6.629,0.333,0.0554,0.0304,0.633,92.946,172933,2000,15,True
Make It Rain,Fat Joe Featuring Lil Wayne,0.744,0.697,B,-5.063,0.197,0.0106,0.0842,0.767,149.28,247413,2007,24,True
He Gets That From Me,Reba McEntire,0.643,0.391,A#/Bb,-10.09,0.0296,0.622,0.11,0.418,143.786,219933,2005,12,True
