track,artist,year,acousticness,danceability,duration_ms,energy,key,liveness,loudness,speechiness,tempo,valence,charted,weeks-on-board
Da Budemo Noćas Zajedno,Vesna Zmijanac,1997.0,0.775,0.53,199333.0,0.547,C,0.0667,-13.52,0.119,102.677,0.619,False,0
P.M.A(Positive Mental Attitude),KEMURI,1998.0,0.0445,0.608,172773.0,0.966,D,0.294,-2.25,0.0738,110.64,0.843,False,0
TDROS,Holeg Spies,1999.0,0.0389,0.603,357587.0,0.7340000000000001,C,0.203,-16.494,0.0406,139.852,0.41,False,0
Interlude,Suprême NTM,1998.0,0.221,0.5720000000000001,31667.0,0.448,C#/Db,0.0983,-18.000999999999994,0.317,92.724,0.227,False,0
Lost,Rx Bandits,1999.0,0.00402,0.573,254433.0,0.962,G,0.279,-5.565,0.0568,116.372,0.847,False,0
"Alceste, LWV 50: Menuet (1674)",Jean-Baptiste Lully,1999.0,0.887,0.377,109827.0,0.332,A#/Bb,0.113,-16.781,0.0593,186.749,0.6459999999999999,False,0
Usta,Müslüm Gürses,1997.0,0.619,0.545,383507.0,0.8109999999999999,A,0.243,-6.4220000000000015,0.119,162.219,0.768,False,0
Lgm. Bengawan Solo,Tjoek Soeparlan,1991.0,0.7020000000000001,0.674,236933.0,0.5589999999999999,F#/Gb,0.107,-7.9860000000000015,0.0341,112.719,0.809,False,0
Out of the Rain,Clan of Xymox,1997.0,0.0367,0.465,248693.0,0.884,A,0.314,-6.38,0.0363,134.059,0.5489999999999999,False,0
Vot kto-to s gorochki spustilsja...,Valentina Tolkunova,1998.0,0.977,0.255,207006.0,0.313,C#/Db,0.138,-8.88,0.0325,106.179,0.203,False,0
Em noventa e dois,Kid Abelha,1993.0,0.226,0.488,232733.0,0.354,A#/Bb,0.226,-13.833,0.0301,72.796,0.429,False,0
Las Chicas Me Quieren,Don QX,1999.0,0.0541,0.853,216867.0,0.721,D,0.133,-7.5139999999999985,0.131,112.326,0.4370000000000001,False,0
Die Dreigroschenoper: Grabschrift,Kurt Weill,1999.0,0.966,0.448,241427.0,0.0601,G,0.136,-16.778,0.0404,113.428,0.124,False,0
Askeri dzav,Zvonko Demirovic,1997.0,0.0751,0.807,180320.0,0.5710000000000001,D#/Eb,0.0928,-9.904,0.11,134.362,0.958,False,0
Tha 'mai Konta Sou (Otan Me Thes),Alkinoos Ioannidis,1999.0,0.7809999999999999,0.606,176987.0,0.298,E,0.0927,-16.072,0.0431,149.036,0.343,False,0
Kapitel 03 - Das verhexte Osterei (Folge 066),Bibi Blocksberg,1997.0,0.445,0.768,94261.0,0.3670000000000001,G#/Ab,0.0197,-17.792,0.954,74.087,0.684,False,0
Dodji sto pre,Vesna Zmijanac,1990.0,0.361,0.67,180881.0,0.423,E,0.122,-16.205,0.0513,137.827,0.8490000000000001,False,0
"Les Contes d'Hoffmann - Performing version of the critical edition by Michael Kaye/ Libretto: J. Barbier after J. Barbier & M. Carré - Act 1: Prélude - ""Glou, glou, glou! Je suis la bière""",Jacques Offenbach,1992.0,0.982,0.48,179013.0,0.0594,F,0.092,-21.452,0.0572,136.66299999999998,0.165,False,0
Эрогенная зона,Чиж & Co,1996.0,0.118,0.5770000000000001,269840.0,0.828,G,0.086,-7.982,0.0485,114.196,0.631,False,0
Langs hver en vei,Gluntan,1999.0,0.331,0.608,234344.0,0.85,A,0.949,-7.82,0.0728,128.43,0.6509999999999999,False,0
Lyrical Gangbang,Dr. Dre,1992.0,0.00327,0.815,244427.0,0.8320000000000001,F#/Gb,0.132,-8.584,0.265,81.11399999999998,0.684,False,0
พี่สาวครับอัดผมที,Silly Fools,1998.0,6.37e-06,0.376,223427.0,0.7240000000000001,G#/Ab,0.0451,-9.148,0.0989,126.045,0.56,False,0
Naturaleza Muerta,Mecano,1998.0,0.88,0.423,304773.0,0.5,F,0.181,-7.145,0.03,144.543,0.249,False,0
Nana M.,Udo Lindenberg,1996.0,0.00881,0.58,264627.0,0.926,A,0.273,-6.909,0.038,113.801,0.8009999999999999,False,0
Ben Sana Vurgunum,Nükhet Duru,1993.0,0.174,0.257,270852.0,0.516,A,0.136,-7.072,0.0861,64.757,0.251,False,0
Özledim,İzel,1992.0,0.128,0.802,271621.0,0.448,G,0.063,-16.442,0.049,104.939,0.962,False,0
Guitar Man,J.J. Cale,1996.0,0.134,0.6990000000000001,241640.0,0.8420000000000001,A#/Bb,0.07,-10.393,0.0378,112.257,0.823,False,0
Goldeneye,Tina Turner,1995.0,0.00456,0.653,288400.0,0.51,B,0.073,-10.59,0.0266,102.021,0.373,False,0
Leap Of Faith,IQ,1993.0,0.0703,0.283,441573.0,0.52,G,0.413,-9.323,0.0294,141.244,0.179,False,0
Only You - DT's Groove Jet Mix,Kimara Lovelace,1996.0,0.038,0.723,522123.0,0.7290000000000001,E,0.474,-7.099,0.0339,126.057,0.419,False,0
改變所有的錯,Harlem Yu,1990.0,0.58,0.433,275120.0,0.5489999999999999,A,0.153,-7.074,0.0279,145.52,0.298,False,0
Kapitel 35: Das Dschungelbuch,Disney - Das Dschungelbuch,1997.0,0.836,0.585,65667.0,0.438,C#/Db,0.182,-13.342,0.581,84.163,0.742,False,0
Someday - New Mix,Michael Learns To Rock,1999.0,0.0271,0.531,245773.0,0.899,D,0.113,-5.357,0.0359,82.01700000000002,0.6759999999999999,False,0
ZX Dan,A Padded Room,1993.0,0.262,0.645,297006.0,0.508,C,0.413,-12.492,0.0308,113.225,0.797,False,0
Lusala mwan afrika,Emeneya,1996.0,0.0512,0.71,501027.0,0.7909999999999999,C,0.08,-6.92,0.0384,118.154,0.968,False,0
"Money, Cash, Hoes",JAY-Z,1998.0,0.0106,0.87,286133.0,0.574,C#/Db,0.209,-6.747000000000001,0.393,90.099,0.46,False,0
Undeniably,Terence Trent D'Arby,1995.0,0.5870000000000001,0.398,308440.0,0.464,A#/Bb,0.794,-10.222,0.0342,120.797,0.296,False,0
Shri Mangla Jyanti Stotra,Narendra Chanchal,1995.0,0.528,0.447,273892.0,0.672,D#/Eb,0.3670000000000001,-3.885,0.0597,144.68200000000004,0.631,False,0
Uj dal: Új dal,Nagy Laszlo Tolcsvay,1994.0,0.838,0.434,204933.0,0.478,G,0.977,-20.029,0.127,118.928,0.706,False,0
Something Real,Eric Benét,1999.0,0.0154,0.8079999999999999,273107.0,0.918,B,0.0359,-1.827,0.132,90.084,0.7759999999999999,False,0
