danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms
0.701,0.688,-5.66,0.211,0.0194,0.0384,0.445,97.684,287027.0
0.824,0.569,-10.386,0.0348,0.0291,0.0595,0.703,110.129,286627.0
0.388,0.978,-8.633,0.075,0.00209,0.235,0.321,109.325,186960.0
0.5710000000000001,0.715,-12.071,0.0422,0.0236,0.158,0.7390000000000001,92.012,288627.0
0.756,0.65,-8.004,0.0457,0.307,0.0606,0.788,132.274,340867.0
0.817,0.561,-13.311,0.0539,0.00204,0.0421,0.904,99.02,229973.0
0.7,0.899,-4.481,0.0513,0.238,0.205,0.305,117.018,310805.0
0.725,0.391,-18.771,0.917,0.58,0.381,0.603,128.605,106914.0
0.181,0.0931,-23.769,0.0438,0.993,0.0725,0.0394,89.19200000000002,241400.0
0.561,0.755,-8.34,0.0293,0.000779,0.237,0.613,91.148,242738.0
0.6679999999999999,0.501,-12.652,0.0355,0.645,0.0566,0.962,108.668,236560.0
0.6709999999999999,0.338,-29.685,0.957,0.1369999999999999,0.125,0.223,85.568,76223.0
0.735,0.518,-9.011,0.0405,0.252,0.0451,0.932,112.032,237349.0
0.552,0.298,-27.659,0.915,0.816,0.212,0.27,107.676,77232.0
0.591,0.459,-13.011,0.929,0.642,0.301,0.479,77.09,93090.0
0.622,0.784,-4.576,0.0342,0.249,0.121,0.727,115.958,212307.0
0.799,0.7120000000000001,-8.04,0.0485,0.0467,0.677,0.514,119.997,400000.0
0.569,0.968,-3.72,0.0487,0.00108,0.0814,0.568,117.783,346533.0
0.391,0.84,-6.768,0.0387,2.45e-05,0.106,0.6809999999999999,146.347,269600.0
0.594,0.302,-15.27,0.0343,0.73,0.0923,0.44,143.43200000000004,272933.0
0.487,0.271,-11.566,0.0283,0.618,0.16,0.194,80.126,245467.0
0.392,0.1689999999999999,-10.074,0.0362,0.993,0.248,0.221,148.08700000000005,180333.0
0.587,0.396,-14.701,0.032,0.102,0.307,0.779,81.265,329960.0
0.674,0.565,-13.902,0.0537,0.161,0.0939,0.827,102.556,267812.0
0.8290000000000001,0.643,-7.6110000000000015,0.0632,0.00147,0.337,0.775,99.98,386240.0
0.546,0.72,-10.994000000000002,0.0323,1.4300000000000004e-05,0.329,0.358,117.998,446667.0
0.653,0.42,-10.771,0.0269,0.218,0.127,0.491,116.601,291400.0
0.435,0.711,-14.974,0.0739,0.0793,0.321,0.795,117.406,172267.0
0.441,0.538,-8.597,0.0253,0.241,0.105,0.302,151.82,238267.0
0.729,0.635,-5.729,0.0298,0.578,0.0469,0.735,80.618,269707.0
0.527,0.334,-11.859000000000002,0.0281,0.414,0.138,0.286,102.325,241360.0
0.549,0.45,-11.568,0.0287,0.401,0.0944,0.289,120.246,367440.0
0.47,0.53,-10.006,0.0317,0.354,0.19,0.444,142.741,201867.0
0.641,0.504,-12.486,0.031,0.197,0.288,0.276,130.786,288827.0
0.723,0.739,-7.943,0.401,0.403,0.365,0.805,177.886,225267.0
0.726,0.731,-7.264,0.0383,0.411,0.084,0.513,115.905,250533.0
0.474,0.8059999999999999,-7.95,0.0495,0.0699,0.0736,0.39,179.89700000000005,268200.0
0.466,0.448,-6.651,0.0293,0.686,0.142,0.153,119.513,307467.0
0.637,0.878,-5.506,0.369,0.0762,0.118,0.652,94.921,256333.0
0.682,0.579,-6.526,0.101,0.467,0.0952,0.7120000000000001,76.915,278760.0
0.667,0.5670000000000001,-7.659,0.392,0.0553,0.382,0.627,90.937,281533.0
0.606,0.754,-3.62,0.0356,0.438,0.144,0.91,157.981,231497.0
0.696,0.483,-12.133,0.0341,0.591,0.147,0.415,125.0,194093.0
0.494,0.0808,-25.927,0.0907,0.425,0.393,0.327,138.656,82986.0
0.886,0.807,-8.19,0.118,0.155,0.0681,0.617,135.009,271933.0
0.796,0.697,-8.113,0.258,0.34,0.136,0.738,93.894,258227.0
0.76,0.428,-11.147,0.0333,0.246,0.144,0.673,122.996,162293.0
0.72,0.678,-11.488,0.122,0.347,0.34,0.73,182.425,242893.0
0.6409999999999999,0.416,-13.538,0.045,0.627,0.0934,0.632,109.998,278960.0
0.467,0.173,-21.835,0.0374,0.228,0.0723,0.542,99.993,566147.0
0.737,0.6940000000000001,-14.472,0.0418,0.0784,0.057,0.785,98.401,168867.0
0.604,0.541,-8.676,0.0634,0.371,0.8079999999999999,0.7440000000000001,132.284,203627.0
0.452,0.452,-12.59,0.0318,0.249,0.143,0.103,177.832,354280.0
0.189,0.0344,-23.785,0.0415,0.85,0.108,0.106,75.253,251400.0
0.899,0.451,-14.009,0.0511,0.0756,0.044,0.973,121.575,232267.0
0.633,0.823,-5.792,0.0287,0.0516,0.188,0.444,115.107,330533.0
0.754,0.458,-8.875,0.0303,0.266,0.0609,0.381,128.696,271440.0
0.596,0.831,-6.319,0.112,0.017,0.0766,0.322,94.846,203827.0
0.756,0.422,-12.967,0.0292,0.0165,0.0368,0.487,112.751,304133.0
0.558,0.435,-6.812,0.0264,0.302,0.0351,0.199,122.385,290467.0
0.742,0.424,-5.696,0.0457,0.119,0.263,0.414,79.956,241533.0
0.397,0.16,-11.575,0.0362,0.923,0.118,0.408,74.217,302173.0
0.446,0.754,-6.622,0.0275,0.0255,0.161,0.402,171.667,291133.0
0.556,0.883,-11.182,0.0579,0.00436,0.242,0.291,115.65,296773.0
0.667,0.602,-12.251,0.902,0.713,0.446,0.767,102.721,180400.0
0.467,0.549,-10.511,0.0418,0.0859,0.312,0.292,133.591,300093.0
0.648,0.8390000000000001,-13.504,0.0479,0.193,0.284,0.753,114.725,236080.0
0.418,0.461,-9.596,0.0395,0.722,0.074,0.484,177.31,171867.0
0.496,0.935,-5.575,0.0477,8.48e-05,0.408,0.448,94.981,284560.0
0.586,0.942,-5.027,0.041,0.00558,0.111,0.457,90.984,224133.0
0.8270000000000001,0.847,-6.089,0.222,0.0478,0.0691,0.769,91.278,261707.0
0.8690000000000001,0.338,-14.5,0.321,0.0136,0.0932,0.529,92.033,254560.0
0.29,0.18,-20.424,0.0496,0.953,0.297,0.0634,138.167,283667.0
0.627,0.8,-6.945,0.162,0.21,0.137,0.912,175.815,217573.0
0.625,0.786,-9.377,0.0291,0.0765,0.205,0.898,120.094,282200.0
0.653,0.59,-12.376,0.0468,0.7240000000000001,0.181,0.92,82.99799999999998,211773.0
0.429,0.413,-9.566,0.032,0.669,0.288,0.155,149.312,292733.0
0.639,0.506,-10.43,0.0331,0.162,0.16,0.526,170.83599999999996,137573.0
0.6890000000000001,0.479,-14.082,0.0309,0.38,0.116,0.795,135.142,213267.0
0.655,0.742,-6.247,0.0448,0.402,0.106,0.429,88.031,304467.0
0.7040000000000001,0.8109999999999999,-10.892,0.0639,0.245,0.132,0.652,103.364,245427.0
0.643,0.584,-9.073,0.0462,0.253,0.089,0.589,84.983,194133.0
0.687,0.588,-16.387999999999998,0.583,0.00564,0.299,0.674,141.615,287373.0
0.775,0.268,-19.067,0.949,0.499,0.0729,0.759,85.725,62755.0
0.709,0.902,-3.392,0.188,0.0364,0.0219,0.878,204.317,237267.0
0.6629999999999999,0.8220000000000001,-7.483,0.0361,0.0255,0.0509,0.97,150.118,205920.0
0.762,0.666,-12.051,0.0577,0.0511,0.131,0.679,93.109,276533.0
0.365,0.765,-5.7810000000000015,0.0564,0.000263,0.269,0.556,97.935,91233.0
0.155,0.0985,-15.91,0.0452,0.977,0.0868,0.0325,68.119,176893.0
0.7,0.465,-10.43,0.0562,0.36,0.143,0.306,137.823,340962.0
0.343,0.9,-5.654,0.188,0.532,0.134,0.189,164.832,386733.0
0.366,0.156,-17.041,0.0318,0.97,0.2,0.265,107.937,347427.0
0.595,0.418,-8.092,0.0308,0.568,0.116,0.25,138.069,218980.0
0.798,0.763,-8.713,0.166,0.075,0.169,0.721,102.071,373560.0
0.58,0.784,-9.568,0.0407,0.406,0.0764,0.973,169.97799999999995,181627.0
0.611,0.815,-6.301,0.0356,0.0438,0.154,0.7,120.985,217933.0
0.514,0.603,-12.096,0.03,0.117,0.117,0.371,99.985,308307.0
0.8240000000000001,0.436,-7.7879999999999985,0.047,0.0598,0.178,0.888,124.196,256600.0
0.567,0.821,-5.894,0.0371,0.418,0.108,0.895,150.106,132307.0
0.754,0.283,-22.798,0.439,0.537,0.109,0.975,155.173,38840.0
0.668,0.75,-9.717,0.0267,0.0332,0.0383,0.646,116.07,282040.0
0.452,0.0779,-23.137,0.0344,0.93,0.0999,0.215,71.045,153000.0
0.611,0.833,-7.554,0.0351,0.0218,0.0923,0.793,108.498,219893.0
0.601,0.765,-7.207000000000002,0.0617,0.557,0.0917,0.965,137.744,166867.0
0.1689999999999999,0.0391,-24.002,0.0397,0.879,0.122,0.185,88.485,208133.0
0.46,0.339,-9.607,0.0286,0.296,0.209,0.146,132.114,247133.0
0.638,0.413,-5.759,0.0256,0.4,0.0845,0.334,89.126,192773.0
0.473,0.733,-11.68,0.0437,0.023,0.0715,0.302,77.47399999999998,371600.0
0.527,0.8540000000000001,-8.696,0.0386,0.0914,0.599,0.527,104.965,316853.0
0.567,0.501,-8.038,0.0241,0.0995,0.0986,0.2,142.589,236773.0
0.84,0.734,-5.99,0.333,0.0714,0.314,0.739,98.001,294000.0
